t,x,y
0.000000,0.184902,-0.025663
0.033446,0.184878,-0.025634
0.066891,0.184868,-0.025735
0.100337,0.184826,-0.025454
0.133782,0.184729,-0.025209
0.167228,0.184891,-0.025046
0.200673,0.184731,-0.024924
0.234119,0.184767,-0.024921
0.267565,0.184844,-0.024869
0.301010,0.184897,-0.024584
0.334456,0.184933,-0.024309
0.367901,0.184935,-0.024056
0.401347,0.184973,-0.023973
0.434792,0.185097,-0.023631
0.468238,0.184976,-0.023393
0.501684,0.185021,-0.023211
0.535129,0.184969,-0.023216
0.568575,0.184949,-0.023179
0.602020,0.185000,-0.022842
0.635466,0.184967,-0.022692
0.668911,0.184971,-0.022874
0.702357,0.184947,-0.023094
0.735803,0.184929,-0.023137
0.769248,0.184909,-0.023150
0.802694,0.184872,-0.023255
0.836139,0.184869,-0.023285
0.869585,0.184783,-0.023359
0.903030,0.184880,-0.023611
0.936476,0.184812,-0.024095
0.969921,0.184731,-0.024338
1.003367,0.184769,-0.024288
1.036813,0.184905,-0.024440
1.070258,0.184861,-0.024705
1.103704,0.184869,-0.024754
1.137149,0.184904,-0.024802
1.170595,0.184965,-0.024769
1.204040,0.184870,-0.024640
1.237486,0.184844,-0.024668
1.270932,0.184842,-0.024769
1.304377,0.184827,-0.024895
1.337823,0.184739,-0.025138
1.371268,0.184791,-0.025502
1.404714,0.184803,-0.025687
1.438159,0.184847,-0.025542
1.471605,0.184858,-0.025568
1.505051,0.184766,-0.025936
1.538496,0.184845,-0.026006
1.571942,0.184837,-0.025955
1.605387,0.184807,-0.025945
1.638833,0.184848,-0.026181
1.672278,0.184859,-0.026276
1.705724,0.184965,-0.026247
1.739169,0.184929,-0.026138
1.772615,0.184852,-0.025986
1.806061,0.184916,-0.025708
1.839506,0.184981,-0.025518
1.872952,0.184991,-0.025346
1.906397,0.185032,-0.025284
1.939843,0.184952,-0.025099
1.973288,0.184915,-0.024783
2.006734,0.184797,-0.024736
2.040180,0.184706,-0.025137
2.073625,0.184575,-0.026279
2.107071,0.184345,-0.028811
2.140516,0.183491,-0.032479
2.173962,0.182317,-0.037277
2.207407,0.181371,-0.042530
2.240853,0.178422,-0.050017
2.274299,0.171656,-0.062311
2.307744,0.162825,-0.080414
2.341190,0.148254,-0.103374
2.374635,0.127502,-0.122802
2.408081,0.101893,-0.139580
2.441526,0.077167,-0.151060
2.474972,0.056415,-0.157242
2.508418,0.040078,-0.158125
2.541863,0.030364,-0.156358
2.575309,0.030364,-0.156800
2.608754,0.038311,-0.158125
2.642200,0.053765,-0.158566
2.675645,0.070544,-0.154151
2.709091,0.090413,-0.146203
2.742536,0.109841,-0.136931
2.775982,0.125294,-0.125892
2.809428,0.136774,-0.114412
2.842873,0.144316,-0.106447
2.876319,0.148633,-0.102229
2.909764,0.148736,-0.101762
2.943210,0.145409,-0.105239
2.976655,0.138541,-0.112646
3.010101,0.128385,-0.122360
3.043547,0.115581,-0.130749
3.076992,0.102776,-0.139580
3.110438,0.088205,-0.146645
3.143883,0.075842,-0.151060
3.177329,0.066862,-0.153184
3.210774,0.061713,-0.154592
3.244220,0.059947,-0.154592
3.277666,0.063746,-0.154258
3.311111,0.070807,-0.152501
3.344557,0.080776,-0.149527
3.378002,0.092252,-0.145067
3.411448,0.103970,-0.139160
3.444893,0.114560,-0.132619
3.478339,0.122539,-0.126737
3.511785,0.128648,-0.121987
3.545230,0.131476,-0.119711
3.578676,0.132359,-0.118828
3.612121,0.130479,-0.120137
3.645567,0.125634,-0.123856
3.679012,0.119192,-0.129043
3.712458,0.110643,-0.134647
3.745903,0.101671,-0.140270
3.779349,0.092495,-0.144570
3.812795,0.084273,-0.147783
3.846240,0.078333,-0.150091
3.879686,0.073634,-0.152385
3.913131,0.073193,-0.151943
3.946577,0.076152,-0.150761
