t,x,y
0.000000,0.087515,-0.146932
0.033611,0.095152,-0.143466
0.067222,0.103068,-0.139386
0.100833,0.110226,-0.135236
0.134444,0.115923,-0.131405
0.168056,0.119885,-0.128471
0.201667,0.122036,-0.126764
0.235278,0.122402,-0.126773
0.268889,0.120767,-0.128034
0.302500,0.117244,-0.130400
0.336111,0.112278,-0.133686
0.369722,0.106516,-0.137527
0.403333,0.100122,-0.141010
0.436944,0.094060,-0.143900
0.470556,0.084901,-0.147866
0.504167,0.082673,-0.148709
0.537778,0.082522,-0.148750
0.571389,0.084493,-0.148183
0.605000,0.087983,-0.146890
0.638611,0.092880,-0.144945
0.672222,0.098133,-0.142263
0.705833,0.103458,-0.139210
0.739444,0.108402,-0.136473
0.773056,0.112266,-0.133971
0.806667,0.115004,-0.132220
0.840278,0.116350,-0.131364
0.873889,0.116170,-0.131421
0.907500,0.114661,-0.132447
0.941111,0.111775,-0.134168
0.974722,0.107982,-0.136534
1.008333,0.103570,-0.139131
1.041944,0.098940,-0.141679
1.075556,0.094657,-0.143695
1.109167,0.091185,-0.145387
1.142778,0.088804,-0.146425
1.176389,0.087669,-0.146800
1.210000,0.088077,-0.146833
1.243611,0.089822,-0.146261
1.277222,0.092636,-0.145104
1.310833,0.096227,-0.143497
1.344444,0.100342,-0.141377
1.378056,0.104290,-0.139200
1.411667,0.107763,-0.137186
1.445278,0.110439,-0.135507
1.478889,0.112130,-0.134364
1.512500,0.112742,-0.133821
1.546111,0.112328,-0.134100
1.579722,0.110907,-0.135030
1.613333,0.108452,-0.136497
1.646944,0.105334,-0.138345
1.680556,0.101826,-0.140270
1.714167,0.098336,-0.142087
1.747778,0.095115,-0.143675
1.781389,0.092587,-0.144846
1.815000,0.090903,-0.145539
1.848611,0.090369,-0.145693
1.882222,0.090969,-0.145439
1.915833,0.092546,-0.144666
1.949444,0.094967,-0.143557
1.983056,0.098042,-0.142112
2.016667,0.101264,-0.140386
2.050278,0.104470,-0.138573
2.083889,0.107187,-0.136996
2.117500,0.109178,-0.135772
2.151111,0.110216,-0.135059
2.184722,0.110431,-0.134893
2.218333,0.109701,-0.135346
2.251944,0.108263,-0.136351
2.285556,0.106126,-0.137660
2.319167,0.103580,-0.139129
2.352778,0.100735,-0.140743
2.386389,0.097866,-0.142254
2.420000,0.095358,-0.143322
2.453611,0.093608,-0.144294
2.487222,0.092591,-0.144776
2.520833,0.092507,-0.144700
2.554444,0.093250,-0.144371
2.588056,0.094821,-0.143694
2.621667,0.096992,-0.142668
2.655278,0.099477,-0.141461
2.688889,0.102130,-0.140214
2.722500,0.104485,-0.138836
2.756111,0.106518,-0.137809
2.789722,0.107803,-0.136918
2.823333,0.108345,-0.136551
2.856944,0.108197,-0.136591
2.890556,0.107354,-0.137237
2.924167,0.105818,-0.138140
2.957778,0.103923,-0.139202
2.991389,0.101737,-0.140400
3.025000,0.099456,-0.141611
3.058611,0.097341,-0.142757
3.092222,0.095680,-0.143542
3.125833,0.094566,-0.144197
3.159444,0.094027,-0.144408
3.193056,0.094338,-0.144374
3.226667,0.095269,-0.143974
3.260278,0.096768,-0.143152
3.293889,0.098591,-0.142121
3.327500,0.100703,-0.141029
3.361111,0.102614,-0.139896
3.394722,0.104513,-0.138973
3.428333,0.105931,-0.138209
3.461944,0.106763,-0.137722
3.495556,0.106929,-0.137474
3.529167,0.106463,-0.137769
3.562778,0.105551,-0.138260
3.596389,0.104128,-0.139125
3.630000,0.102356,-0.140081
3.663611,0.100474,-0.141115
3.697222,0.098636,-0.142001
3.730833,0.097010,-0.142811
3.764444,0.095800,-0.143336
3.798056,0.095095,-0.143735
3.831667,0.095029,-0.143797
3.865278,0.095528,-0.143539
3.898889,0.096524,-0.143009
3.932500,0.097977,-0.142288
3.966111,0.099602,-0.141358
3.999722,0.101254,-0.140414
4.033333,0.102856,-0.139517
4.066944,0.104177,-0.138759
4.100556,0.105020,-0.138117
4.134167,0.105446,-0.137938
4.167778,0.105486,-0.138071
4.201389,0.104898,-0.138523
4.235000,0.103860,-0.139044
4.268611,0.102549,-0.139780
4.302222,0.101005,-0.140688
4.335833,0.099488,-0.141607
4.369444,0.098149,-0.142356
4.403056,0.096950,-0.142962
4.436667,0.096188,-0.143342
4.470278,0.095863,-0.143492
4.503889,0.096060,-0.143504
4.537500,0.096734,-0.143136
4.571111,0.097790,-0.142623
4.604722,0.099034,-0.141961
4.638333,0.100412,-0.141160
4.671944,0.101749,-0.140440
4.705556,0.102933,-0.139765
4.739167,0.103906,-0.139337
4.772778,0.104443,-0.138984
4.806389,0.104711,-0.139002
4.840000,0.104399,-0.139165
4.873611,0.103866,-0.139555
4.907222,0.102862,-0.139971
4.940833,0.101753,-0.140680
4.974444,0.100529,-0.141417
5.008056,0.099345,-0.141868
5.041667,0.098405,-0.142420
5.075278,0.097684,-0.142822
5.108889,0.097261,-0.142998
5.142500,0.097137,-0.142979
5.176111,0.097383,-0.142782
5.209722,0.098120,-0.142512
5.243333,0.098910,-0.142080
5.276944,0.099952,-0.141546
5.310556,0.101097,-0.140998
5.344167,0.102129,-0.140512
5.377778,0.102900,-0.140008
5.411389,0.103454,-0.139771
5.445000,0.103629,-0.139690
5.478611,0.103623,-0.139827
5.512222,0.103228,-0.140038
5.545833,0.102521,-0.140403
5.579444,0.101548,-0.140781
5.613056,0.100503,-0.141280
5.646667,0.099516,-0.141755
5.680278,0.098650,-0.142173
5.713889,0.097957,-0.142528
5.747500,0.097490,-0.142746
5.781111,0.097412,-0.142796
5.814722,0.097664,-0.142723
5.848333,0.098150,-0.142548
5.881944,0.098684,-0.142215
5.915556,0.099458,-0.141766
5.949167,0.100368,-0.141285
5.982778,0.101218,-0.140828
6.016389,0.101951,-0.140428
6.050000,0.102488,-0.140119
6.083611,0.102743,-0.140003
6.117222,0.102854,-0.139966
6.150833,0.102670,-0.140078
6.184444,0.102264,-0.140346
6.218056,0.101609,-0.140665
6.251667,0.100786,-0.141103
6.285278,0.099886,-0.141543
6.318889,0.099111,-0.141984
6.352500,0.098558,-0.142223
6.386111,0.098132,-0.142419
6.419722,0.097815,-0.142571
6.453333,0.097820,-0.142612
6.486944,0.098070,-0.142604
6.520556,0.098576,-0.142284
6.554167,0.099257,-0.141831
6.587778,0.100030,-0.141462
6.621389,0.100776,-0.141150
6.655000,0.101352,-0.140811
6.688611,0.101816,-0.140564
6.722222,0.102268,-0.140274
6.755833,0.102323,-0.140133
6.789444,0.102173,-0.140179
6.823056,0.101859,-0.140298
6.856667,0.101441,-0.140520
6.890278,0.100820,-0.140772
6.923889,0.100247,-0.141197
6.957500,0.099634,-0.141489
6.991111,0.098960,-0.141858
7.024722,0.098486,-0.142092
7.058333,0.098259,-0.142149
7.091944,0.098303,-0.142098
7.125556,0.098531,-0.141975
7.159167,0.098808,-0.141831
7.192778,0.099250,-0.141620
7.226389,0.099958,-0.141361
7.260000,0.100607,-0.140968
7.293611,0.101125,-0.140720
7.327222,0.101627,-0.140482
7.360833,0.101960,-0.140229
7.394444,0.102175,-0.140132
7.428056,0.102137,-0.140131
7.461667,0.101952,-0.140205
7.495278,0.101596,-0.140418
7.528889,0.101154,-0.140648
7.562500,0.100684,-0.140992
7.596111,0.100054,-0.141237
7.629722,0.099600,-0.141408
7.663333,0.099210,-0.141567
7.696944,0.099007,-0.141783
7.730556,0.098823,-0.141881
7.764167,0.098841,-0.141831
7.797778,0.099026,-0.141778
7.831389,0.099310,-0.141570
7.865000,0.099728,-0.141400
7.898611,0.100174,-0.141071
7.932222,0.100671,-0.140845
7.965833,0.101070,-0.140646
7.999444,0.101384,-0.140530
8.033056,0.101558,-0.140344
8.066667,0.101568,-0.140276
